# Перепись индексации по адресам карты сайта; обновляется ПО КРУГУ, у каждого адреса своя дата проверки. Считать по verdict (enum), НЕ по coverage: coverage — человекочитаемая строка без объявленного набора значений
# Снято ботом 2026-09-08. Правки руками будут стёрты следующим прогоном.
site,url,verdict,coverage,fetch_state,robots,last_crawl,checked
gspaytables,https://gspaytables.com/locality/new-york-newark-ny-nj-ct-pa/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-04,2026-09-08
gspaytables,https://gspaytables.com/locality/omaha-council-bluffs-fremont-ne-ia/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-31,2026-09-08
gspaytables,https://gspaytables.com/locality/palm-bay-melbourne-titusville-fl/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-02,2026-09-08
gspaytables,https://gspaytables.com/locality/philadelphia-reading-camden-pa-nj-de-md/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-31,2026-09-08
gspaytables,https://gspaytables.com/locality/pittsburgh-new-castle-weirton-pa-oh-wv/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-02,2026-09-08
gspaytables,https://gspaytables.com/locality/portland-vancouver-salem-or-wa/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/phoenix-mesa-az/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-30,2026-09-08
gspaytables,https://gspaytables.com/locality/raleigh-durham-cary-nc/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-02,2026-09-08
gspaytables,https://gspaytables.com/locality/richmond-va/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/locality/reno-fernley-nv/,NEUTRAL,Discovered - currently not indexed,PAGE_FETCH_STATE_UNSPECIFIED,ROBOTS_TXT_STATE_UNSPECIFIED,,2026-09-08
gspaytables,https://gspaytables.com/locality/rochester-batavia-seneca-falls-ny/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-02,2026-09-08
gspaytables,https://gspaytables.com/locality/rest-of-u-s/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/sacramento-roseville-ca-nv/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-28,2026-09-08
gspaytables,https://gspaytables.com/locality/san-diego-chula-vista-carlsbad-ca/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/seattle-tacoma-wa/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
