# GA4, снято руками 31.08.2026. Отчёт: Reports -> Pages and screens.
# Окно "Last 28 days" = 3-30 августа 2026, то есть покрывает ВСЮ жизнь обоих
# сайтов целиком (запуск 12.08 и 26.08). Правый край — 30.08, T-1.
# views — просмотры страниц. Это ЧИСЛИТЕЛЬ для порога рекламной сети
# (25 000 просмотров в месяц), которого на доске до сих пор не было вовсе.
site,views,users,views_per_user,avg_engagement,events,pages_with_views,pages_built
mileagecurve,87,75,1.16,13s,306,19,353
gspaytables,186,114,1.63,1m 05s,565,29,165
